customer_id,first_name,last_name,email,phone,city,country,created_at,platform
CUST-304020,Vikram,Joshi,user0@example.com,+91 9563264925,Delhi,India,2022-04-27 00:00:00,Amazon
CUST-105206,Neha,Kumar,user1@example.com,+91 9852074582,Kolkata,India,2023-03-21 00:00:00,Amazon
CUST-394077,Pooja,Verma,user2@example.com,+91 9280655444,Bengaluru,India,2022-09-05 00:00:00,Amazon
CUST-413067,Raj,Singh,user3@example.com,+91 9206273231,Pune,India,2022-10-03 00:00:00,Amazon
CUST-204102,Vikram,Patel,user4@example.com,+91 9794748460,Ahmedabad,India,2023-07-29 00:00:00,Amazon
CUST-140794,Kavita,Singh,user5@example.com,+91 9953905737,Bengaluru,India,2023-01-09 00:00:00,Amazon
CUST-478915,Amit,Reddy,user6@example.com,+91 9752829035,Delhi,India,2024-06-11 00:00:00,Amazon
CUST-450204,Vikram,Desai,user7@example.com,+91 9879061056,Hyderabad,India,2024-03-24 00:00:00,Amazon
CUST-403295,Pooja,Reddy,user8@example.com,+91 9808941520,Hyderabad,India,2022-01-29 00:00:00,Amazon
CUST-423230,Raj,Rao,user9@example.com,+91 9283520510,Bengaluru,India,2024-03-24 00:00:00,Amazon
CUST-175821,Neha,Sharma,user10@example.com,+91 9172504595,Ahmedabad,India,2023-11-01 00:00:00,Amazon
CUST-269729,Pooja,Rao,user11@example.com,+91 9478570916,Delhi,India,2023-11-19 00:00:00,Amazon
CUST-448160,Pooja,Kumar,user12@example.com,+91 9663105566,Delhi,India,2023-06-30 00:00:00,Amazon
CUST-485014,Amit,Desai,user13@example.com,+91 9943613555,Mumbai,India,2024-05-08 00:00:00,Amazon
CUST-489460,Anjali,Sharma,user14@example.com,+91 9233673276,Delhi,India,2023-09-14 00:00:00,Amazon
CUST-486253,Raj,Verma,user15@example.com,+91 9660765929,Kolkata,India,2022-11-25 00:00:00,Amazon
CUST-484369,Priya,Sharma,user16@example.com,+91 9715093779,Hyderabad,India,2022-04-17 00:00:00,Amazon
CUST-107437,Anjali,Gupta,user18@example.com,+91 9876089213,Pune,India,2022-08-10 00:00:00,Amazon
CUST-178908,Priya,Reddy,user19@example.com,+91 9104591234,Kolkata,India,2023-04-15 00:00:00,Amazon
CUST-340469,Raj,Joshi,user20@example.com,+91 9837011510,Pune,India,2022-01-07 00:00:00,Amazon
CUST-177325,Rahul,Rao,user21@example.com,+91 9493034684,Hyderabad,India,2023-06-26 00:00:00,Amazon
CUST-361853,Kavita,Desai,user22@example.com,+91 9707247598,Kolkata,India,2023-01-16 00:00:00,Amazon
CUST-265888,Anjali,Kumar,user23@example.com,+91 9201429236,Chennai,India,2022-03-24 00:00:00,Amazon
CUST-159562,Suresh,Patel,user24@example.com,+91 9565719249,Bengaluru,India,2024-02-23 00:00:00,Amazon
CUST-453341,Rahul,Joshi,user25@example.com,+91 9214263314,Ahmedabad,India,2022-04-23 00:00:00,Amazon
CUST-313063,Kavita,Kumar,user26@example.com,+91 9929790424,Chennai,India,2024-03-10 00:00:00,Amazon
CUST-237784,Amit,Patel,user27@example.com,+91 9220328413,Bengaluru,India,2023-08-22 00:00:00,Amazon
CUST-372992,Vikram,Patel,user28@example.com,+91 9640234831,Hyderabad,India,2024-02-11 00:00:00,Amazon
CUST-478685,Neha,Patel,user29@example.com,+91 9568721024,Hyderabad,India,2022-03-24 00:00:00,Amazon
CUST-101927,Suresh,Gupta,user30@example.com,+91 9327027678,Chennai,India,2023-09-30 00:00:00,Amazon
CUST-336222,Amit,Sharma,user31@example.com,+91 9675021545,Ahmedabad,India,2022-09-29 00:00:00,Amazon
CUST-165912,Raj,Singh,user32@example.com,+91 9498818191,Kolkata,India,2024-03-28 00:00:00,Amazon
CUST-432552,Amit,Rao,user33@example.com,+91 9456821313,Ahmedabad,India,2023-10-21 00:00:00,Amazon
CUST-335577,Vikram,Patel,user34@example.com,+91 9690813637,Pune,India,2022-11-08 00:00:00,Amazon
CUST-434976,Raj,Kumar,user35@example.com,+91 9691203447,Bengaluru,India,2023-01-06 00:00:00,Amazon
CUST-403236,Suresh,Verma,user36@example.com,+91 9187566900,Bengaluru,India,2022-09-23 00:00:00,Amazon
CUST-151089,Vikram,Verma,user37@example.com,+91 9884185895,Mumbai,India,2023-01-08 00:00:00,Amazon
CUST-119129,Priya,Desai,user38@example.com,+91 9731941362,Delhi,India,2023-03-07 00:00:00,Amazon
CUST-214621,Neha,Reddy,user39@example.com,+91 9436024657,Kolkata,India,2023-09-13 00:00:00,Amazon
CUST-490965,Suresh,Patel,user40@example.com,+91 9710932306,Kolkata,India,2023-04-29 00:00:00,Amazon
CUST-198386,Priya,Kumar,user41@example.com,+91 9904903350,Mumbai,India,2022-05-26 00:00:00,Amazon
CUST-320293,Kavita,Patel,user42@example.com,+91 9597947770,Hyderabad,India,2023-09-24 00:00:00,Amazon
CUST-465138,Suresh,Gupta,user43@example.com,+91 9841168953,Chennai,India,2023-02-09 00:00:00,Amazon
CUST-386306,Kavita,Reddy,user44@example.com,+91 9605136666,Ahmedabad,India,2022-12-19 00:00:00,Amazon
CUST-187084,Raj,Patel,user45@example.com,+91 9279829630,Kolkata,India,2022-12-13 00:00:00,Amazon
CUST-415067,Priya,Rao,user46@example.com,+91 9855890305,Bengaluru,India,2023-02-03 00:00:00,Amazon
CUST-297948,Neha,Verma,user47@example.com,+91 9841667739,Mumbai,India,2024-04-22 00:00:00,Amazon
CUST-213318,Vikram,Patel,user48@example.com,+91 9201142590,Chennai,India,2022-04-28 00:00:00,Amazon
CUST-282497,Pooja,Rao,user49@example.com,+91 9509868460,Pune,India,2023-09-07 00:00:00,Amazon
CUST-209976,Amit,Rao,user50@example.com,+91 9697014377,Chennai,India,2022-07-10 00:00:00,Amazon
CUST-200222,Rahul,Sharma,user51@example.com,+91 9654871154,Kolkata,India,2023-04-10 00:00:00,Amazon
CUST-456320,Neha,Rao,user52@example.com,+91 9147735409,Delhi,India,2023-03-15 00:00:00,Amazon
